surplus;consumption_rise;purchase_price_rise;consumption_low;generation_low;purchase_price_low;send_to_batteries;charge_from_pods;get_from_batteries
1;1;1;1;1;1;1;0;0
1;1;1;1;1;0;1;0;0
1;1;1;0;1;1;1;0;0
1;1;1;0;1;0;1;0;0
1;0;1;1;1;1;1;0;0
1;0;1;1;1;0;1;0;0
1;0;1;0;1;1;1;0;0
1;0;1;0;1;0;1;0;0
1;1;1;1;0;1;1;0;0
1;1;1;1;0;0;1;0;0
1;1;1;0;0;1;1;0;0
1;1;1;0;0;0;1;0;0
1;1;0;1;1;1;1;0;0
1;1;0;1;1;0;1;0;0
1;1;0;0;1;1;1;0;0
1;1;0;0;1;0;1;0;0
1;0;1;1;0;1;1;0;0
1;0;1;1;0;0;1;0;0
1;0;1;0;0;1;1;0;0
1;0;1;0;0;0;1;0;0
1;1;0;1;0;1;1;0;0
1;1;0;1;0;0;1;0;0
1;1;0;0;0;1;1;0;0
1;1;0;0;0;0;1;0;0
1;0;0;1;1;1;1;0;0
1;0;0;1;1;0;1;0;0
1;0;0;0;1;1;1;0;0
1;0;0;0;1;0;1;0;0
1;0;0;1;0;1;1;0;0
1;0;0;1;0;0;1;0;0
1;0;0;0;0;1;1;0;0
1;0;0;0;0;0;1;0;0
0;1;1;1;1;1;0;1;0
0;1;1;1;1;0;0;0;0
0;1;1;0;1;1;0;1;0
0;1;1;0;1;0;0;1;0
0;0;1;1;1;1;0;1;0
0;0;1;1;1;0;0;0;1
0;0;1;0;1;1;0;1;0
0;0;1;0;1;0;0;0;1
0;1;1;1;0;1;0;0;1
0;1;1;1;0;0;0;0;0
0;1;1;0;0;1;0;1;0
0;1;1;0;0;0;0;1;0
0;1;0;1;1;1;0;1;0
0;1;0;1;1;0;0;0;1
0;1;0;0;1;1;0;1;0
0;1;0;0;1;0;0;0;0
0;0;1;1;0;1;0;1;0
0;0;1;1;0;0;0;0;1
0;0;1;0;0;1;0;1;0
0;0;1;0;0;0;0;0;1
0;1;0;1;0;1;0;1;0
0;1;0;1;0;0;0;0;1
0;1;0;0;0;1;0;1;0
0;1;0;0;0;0;0;0;1
0;0;0;1;1;1;0;1;0
0;0;0;1;1;0;0;0;1
0;0;0;0;1;1;0;1;0
0;0;0;0;1;0;0;0;1
0;0;0;1;0;1;0;1;0
0;0;0;1;0;0;0;0;1
0;0;0;0;0;1;0;1;0
0;0;0;0;0;0;0;0;1
