InitialDatetime;FinalDatetime;EntityId;EntityType;Magnitude;MagnitudeValue;MagnitudeUnits
2023-06-05 00:00:00;2023-06-05 00:15:00;1;battery;power;150.0;kW
2023-06-05 00:00:00;2023-06-05 00:15:00;1;battery;state_of_charge;15.0;%
2023-06-05 00:00:00;2023-06-05 00:15:00;2;battery;power;150.0;kW
2023-06-05 00:00:00;2023-06-05 00:15:00;2;battery;state_of_charge;15.0;%
2023-06-05 00:00:00;2023-06-05 00:15:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 00:00:00;2023-06-05 00:15:00;4;point_of_grid_delivery;power;556.0;kW
2023-06-05 00:00:00;2023-06-05 00:15:00;5;point_of_consumption;energy;64.0;kWh
2023-06-05 00:15:00;2023-06-05 00:30:00;1;battery;power;150.0;kW
2023-06-05 00:15:00;2023-06-05 00:30:00;1;battery;state_of_charge;30.0;%
2023-06-05 00:15:00;2023-06-05 00:30:00;2;battery;power;150.0;kW
2023-06-05 00:15:00;2023-06-05 00:30:00;2;battery;state_of_charge;30.0;%
2023-06-05 00:15:00;2023-06-05 00:30:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 00:15:00;2023-06-05 00:30:00;4;point_of_grid_delivery;power;556.0;kW
2023-06-05 00:15:00;2023-06-05 00:30:00;5;point_of_consumption;energy;64.0;kWh
2023-06-05 00:30:00;2023-06-05 00:45:00;1;battery;power;150.0;kW
2023-06-05 00:30:00;2023-06-05 00:45:00;1;battery;state_of_charge;45.0;%
2023-06-05 00:30:00;2023-06-05 00:45:00;2;battery;power;150.0;kW
2023-06-05 00:30:00;2023-06-05 00:45:00;2;battery;state_of_charge;45.0;%
2023-06-05 00:30:00;2023-06-05 00:45:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 00:30:00;2023-06-05 00:45:00;4;point_of_grid_delivery;power;556.0;kW
2023-06-05 00:30:00;2023-06-05 00:45:00;5;point_of_consumption;energy;64.0;kWh
2023-06-05 00:45:00;2023-06-05 01:00:00;1;battery;power;150.0;kW
